season,hour,scenario,value,probability
Summer,9,55,0.19211293655871067,0.00991817376103183
Summer,9,56,0.19251796941491076,0.009902010810671089
Summer,9,57,0.1929230022711108,0.009885868852405132
Summer,9,58,0.1933280351273109,0.009869747852613882
Summer,9,59,0.19373306798351098,0.009853647777827303
Summer,9,60,0.19413810083971106,0.009837568594724072
Summer,9,61,0.19454313369591114,0.009821510270130483
Summer,9,62,0.1949481665521112,0.009805472771019265
Summer,9,63,0.19535319940831128,0.009789456064508375
Summer,9,64,0.19575823226451136,0.009773460117859895
Summer,9,65,0.19616326512071144,0.00975748489847886
Summer,9,66,0.1965682979769115,0.009741530373912155
Summer,9,67,0.19697333083311158,0.009725596511847356
Summer,9,68,0.19737836368931166,0.009709683280111722
Summer,9,69,0.19778339654551175,0.009693790646670957
Summer,9,70,0.19818842940171183,0.009677918579628266
Summer,9,71,0.19859346225791188,0.009662067047223185
Summer,9,72,0.19899849511411197,0.009646236017830602
Summer,9,73,0.19940352797031205,0.00963042545995962
Summer,9,74,0.19980856082651213,0.009614635342252572
Summer,9,75,0.2002135936827122,0.009598865633484
Summer,9,76,0.20061862653891227,0.009583116302559582
Summer,9,77,0.20102365939511235,0.009567387318515181
Summer,9,78,0.20142869225131244,0.009551678650515797
Summer,9,79,0.20183372510751252,0.009535990267854623
Summer,9,80,0.2022387579637126,0.009520322139952018
Summer,9,81,0.20264379081991266,0.009504674236354578
Summer,9,82,0.20304882367611274,0.00948904652673414
Summer,9,83,0.20345385653231282,0.009473438980886848
Summer,9,84,0.20385888938851288,0.009457851568732223
Summer,9,85,0.20426392224471296,0.009442284260312206
Summer,9,86,0.20466895510091304,0.009426737025790227
Summer,9,87,0.20507398795711312,0.009411209835450352
Summer,9,88,0.2054790208133132,0.00939570265969627
Summer,9,89,0.2058840536695133,0.00938021546905052
Summer,9,90,0.20628908652571334,0.009364748234153474
Summer,9,91,0.20669411938191343,0.00934930092576256
Summer,9,92,0.2070991522381135,0.009333873514751349
Summer,9,93,0.20750418509431356,0.009318465972108666
Summer,9,94,0.20790921795051365,0.009303078268937795
Summer,9,95,0.20831425080671373,0.009287710376455557
Summer,9,96,0.2087192836629138,0.009272362265991537
Summer,9,97,0.2091243165191139,0.009257033908987225
Summer,9,98,0.20952934937531398,0.009241725276995178
Summer,9,99,0.20993438223151403,0.009226436341678235
Summer,9,100,0.21033941508771412,0.009211167074808672
Summer,10,1,0.17998888116917297,0.01077111783288014
Summer,10,2,0.1803989194921898,0.010755055579404696
Summer,10,3,0.18080895781520667,0.01073900814494818
Summer,10,4,0.1812189961382235,0.01072297553058444
Summer,10,5,0.18162903446124035,0.010706957737325957
Summer,10,6,0.18203907278425718,0.010690954766124422
Summer,10,7,0.18244911110727405,0.010674966617871191
Summer,10,8,0.18285914943029088,0.01065899329339785
Summer,10,9,0.18326918775330772,0.010643034793476681
Summer,10,10,0.1836792260763246,0.010627091118821196
Summer,10,11,0.18408926439934142,0.010611162270086611
Summer,10,12,0.18449930272235826,0.010595248247870318
Summer,10,13,0.1849093410453751,0.010579349052712416
Summer,10,14,0.18531937936839196,0.010563464685096145
Summer,10,15,0.1857294176914088,0.010547595145448393
Summer,10,16,0.18613945601442564,0.010531740434140137
Summer,10,17,0.1865494943374425,0.010515900551486922
Summer,10,18,0.18695953266045934,0.010500075497749306
Summer,10,19,0.18736957098347617,0.010484265273133356
Summer,10,20,0.187779609306493,0.010468469877791034
Summer,10,21,0.18818964762950988,0.01045268931182067
Summer,10,22,0.1885996859525267,0.010436923575267432
Summer,10,23,0.18900972427554355,0.01042117266812372
Summer,10,24,0.18941976259856041,0.010405436590329595
Summer,10,25,0.18982980092157725,0.010389715341773253
Summer,10,26,0.1902398392445941,0.01037400892229138
Summer,10,27,0.19064987756761093,0.010358317331669618
Summer,10,28,0.1910599158906278,0.01034264056964296
Summer,10,29,0.19146995421364463,0.010326978635896183
Summer,10,30,0.19187999253666146,0.010311331530064187
Summer,10,31,0.19229003085967833,0.010295699251732472
Summer,10,32,0.19270006918269517,0.010280081800437496
Summer,10,33,0.193110107505712,0.010264479175667076
Summer,10,34,0.19352014582872884,0.01024889137686075
Summer,10,35,0.1939301841517457,0.010233318403410208
Summer,10,36,0.19434022247476254,0.010217760254659649
Summer,10,37,0.19475026079777938,0.010202216929906143
Summer,10,38,0.19516029912079624,0.010186688428400004
Summer,10,39,0.19557033744381308,0.01017117474934522
Summer,10,40,0.19598037576682992,0.010155675891899725
Summer,10,41,0.19639041408984675,0.01014019185517582
Summer,10,42,0.19680045241286362,0.010124722638240513
Summer,10,43,0.19721049073588046,0.01010926824011589
Summer,10,44,0.1976205290588973,0.01009382865977944
Summer,10,45,0.19803056738191416,0.010078403896164413
Summer,10,46,0.198440605704931,0.01006299394816017
Summer,10,47,0.19885064402794783,0.010047598814612526
Summer,10,48,0.19926068235096467,0.01003221849432407
Summer,10,49,0.19967072067398153,0.010016852986054507
Summer,10,50,0.20008075899699837,0.010001502288520979
Summer,10,51,0.2004907973200152,0.009986166400398436
Summer,10,52,0.20090083564303207,0.009970845320319909
Summer,10,53,0.2013108739660489,0.009955539046876816
Summer,10,54,0.20172091228906575,0.009940247578619374
Summer,10,55,0.20213095061208258,0.00992497091405681
Summer,10,56,0.20254098893509945,0.009909709051657712
Summer,10,57,0.20295102725811628,0.009894461989850337
Summer,10,58,0.20336106558113312,0.009879229727022966
Summer,10,59,0.20377110390414996,0.009864012261524092
Summer,10,60,0.20418114222716682,0.009848809591662832
Summer,10,61,0.20459118055018366,0.009833621715709165
Summer,10,62,0.2050012188732005,0.009818448631894223
Summer,10,63,0.20541125719621733,0.009803290338410615
Summer,10,64,0.2058212955192342,0.009788146833412706
Summer,10,65,0.20623133384225104,0.009773018115016872
Summer,10,66,0.20664137216526787,0.009757904181301801
Summer,10,67,0.20705141048828474,0.009742805030308823
Summer,10,68,0.20746144881130157,0.009727720660042091
Summer,10,69,0.2078714871343184,0.009712651068468917
Summer,10,70,0.20828152545733525,0.009697596253520051
Summer,10,71,0.2086915637803521,0.009682556213089912
Summer,10,72,0.20910160210336895,0.009667530945036895
Summer,10,73,0.2095116404263858,0.00965252044718359
Summer,10,74,0.20992167874940265,0.009637524717317108
Summer,10,75,0.2103317170724195,0.009622543753189265
Summer,10,76,0.21074175539543633,0.009607577552516898
Summer,10,77,0.21115179371845316,0.009592626112982092
Summer,10,78,0.21156183204147003,0.009577689432232429
Summer,10,79,0.21197187036448686,0.009562767507881265
Summer,10,80,0.2123819086875037,0.009547860337507968
Summer,10,81,0.21279194701052057,0.009532967918658111
Summer,10,82,0.2132019853335374,0.009518090248843817
Summer,10,83,0.21361202365655424,0.009503227325543906
Summer,10,84,0.21402206197957108,0.009488379146204188
Summer,10,85,0.21443210030258794,0.009473545708237661
Summer,10,86,0.21484213862560478,0.009458727009024793
Summer,10,87,0.21525217694862162,0.009443923045913719
Summer,10,88,0.21566221527163848,0.009429133816220462
Summer,10,89,0.21607225359465532,0.009414359317229209
Summer,10,90,0.21648229191767215,0.00939959954619248
Summer,10,91,0.216892330240689,0.009384854500331398
Summer,10,92,0.21730236856370586,0.009370124176835868
Summer,10,93,0.2177124068867227,0.009355408572864859
Summer,10,94,0.21812244520973953,0.009340707685546536
Summer,10,95,0.2185324835327564,0.009326021511978552
Summer,10,96,0.21894252185577323,0.009311350049228246
Summer,10,97,0.21935256017879007,0.009296693294332798
Summer,10,98,0.2197625985018069,0.00928205124429951
Summer,10,99,0.22017263682482377,0.00926742389610601
Summer,10,100,0.2205826751478406,0.009252811246700389
Summer,11,1,0.18747614187719147,0.010733832192516115
Summer,11,2,0.18788980166377448,0.010718684343869408
Summer,11,3,0.18830346145035745,0.010703545794171541
Summer,11,4,0.18871712123694045,0.010688416571324522
Summer,11,5,0.18913078102352343,0.010673296703014753
Summer,11,6,0.18954444081010643,0.010658186216714721
Summer,11,7,0.1899581005966894,0.010643085139684748
