season,hour,scenario,value,probability
Winter,0,52,0.37991671749072786,0.009990727411398895
Winter,0,53,0.381161078565991,0.009977758230254513
Winter,0,54,0.3824054396412541,0.009964765013209868
Winter,0,55,0.3836498007165173,0.00995174782977655
Winter,0,56,0.38489416179178043,0.009938706748588108
Winter,0,57,0.38613852286704353,0.009925641837409285
Winter,0,58,0.3873828839423067,0.00991255316314514
Winter,0,59,0.38862724501756984,0.009899440791850019
Winter,0,60,0.389871606092833,0.009886304788736337
Winter,0,61,0.39111596716809616,0.009873145218183279
Winter,0,62,0.39236032824335926,0.009859962143745276
Winter,0,63,0.3936046893186224,0.009846755628160377
Winter,0,64,0.39484905039388557,0.009833525733358505
Winter,0,65,0.39609341146914867,0.009820272520469516
Winter,0,66,0.3973377725444118,0.00980699604983116
Winter,0,67,0.398582133619675,0.009793696380996891
Winter,0,68,0.39982649469493814,0.009780373572743598
Winter,0,69,0.4010708557702013,0.009767027683079084
Winter,0,70,0.4023152168454644,0.009753658769249576
Winter,0,71,0.40355957792072755,0.009740266887746967
Winter,0,72,0.4048039389959907,0.009726852094316035
Winter,0,73,0.4060483000712538,0.009713414443961494
Winter,0,74,0.40729266114651697,0.009699953990954921
Winter,0,75,0.4085370222217801,0.009686470788841606
Winter,0,76,0.4097813832970433,0.009672964890447246
Winter,0,77,0.41102574437230643,0.009659436347884538
Winter,0,78,0.41227010544756953,0.009645885212559673
Winter,0,79,0.4135144665228327,0.009632311535178703
Winter,0,80,0.41475882759809585,0.009618715365753821
Winter,0,81,0.41600318867335895,0.009605096753609512
Winter,0,82,0.4172475497486221,0.009591455747388618
Winter,0,83,0.41849191082388526,0.009577792395058274
Winter,0,84,0.4197362718991484,0.009564106743915796
Winter,0,85,0.4209806329744116,0.009550398840594393
Winter,0,86,0.42222499404967473,0.00953666873106885
Winter,0,87,0.42346935512493783,0.00952291646066109
Winter,0,88,0.424713716200201,0.009509142074045612
Winter,0,89,0.42595807727546414,0.009495345615254901
Winter,0,90,0.42720243835072724,0.009481527127684668
Winter,0,91,0.4284467994259904,0.009467686654099059
Winter,0,92,0.42969116050125356,0.009453824236635752
Winter,0,93,0.4309355215765167,0.009439939916810962
Winter,0,94,0.43217988265177987,0.009426033735524364
Winter,0,95,0.43342424372704297,0.00941210573306394
Winter,0,96,0.4346686048023061,0.009398155949110738
Winter,0,97,0.4359129658775693,0.0093841844227435
Winter,0,98,0.4371573269528324,0.009370191192443316
Winter,0,99,0.43840168802809554,0.009356176296098086
Winter,0,100,0.4396460491033587,0.009342139771006959
Winter,1,1,0.3140592300335884,0.010629566653169114
Winter,1,2,0.3152949238961768,0.010617752822021443
Winter,1,3,0.31653061775876523,0.010605908376882443
Winter,1,4,0.31776631162135366,0.010594033466394745
Winter,1,5,0.31900200548394214,0.01058212823740761
Winter,1,6,0.32023769934653057,0.010570192835002426
Winter,1,7,0.321473393209119,0.010558227402517682
Winter,1,8,0.3227090870717074,0.010546232081573556
Winter,1,9,0.32394478093429585,0.010534207012095934
Winter,1,10,0.3251804747968843,0.010522152332340065
Winter,1,11,0.3264161686594727,0.010510068178913723
Winter,1,12,0.32765186252206113,0.01049795468679996
Winter,1,13,0.3288875563846496,0.010485811989379448
Winter,1,14,0.33012325024723804,0.010473640218452361
Winter,1,15,0.33135894410982647,0.010461439504259906
Winter,1,16,0.3325946379724149,0.010449209975505445
Winter,1,17,0.3338303318350033,0.0104369517593752
Winter,1,18,0.33506602569759175,0.010424664981558614
Winter,1,19,0.3363017195601802,0.010412349766268338
Winter,1,20,0.33753741342276866,0.01040000623625983
Winter,1,21,0.3387731072853571,0.010387634512850635
